time,cyln_pre,tank_pre,force,pos,val1,val2
0,871,2380,457,4001,0,0
1,867,2381,456,4006,0,0
2,861,2389,462,4007,0,0
3,868,2387,452,4009,0,0
4,867,2384,457,4007,0,0
5,868,2391,454,4006,0,0
6,867,2384,454,4004,0,0
7,868,2387,456,4010,0,0
8,865,2384,457,4007,0,0
9,870,2386,453,4007,0,0
10,866,2385,459,4004,0,0
11,875,2383,457,4006,0,0
12,868,2382,457,4007,0,0
13,866,2386,456,4007,0,0
14,866,2384,456,4006,0,0
15,868,2389,455,4006,0,0
16,865,2390,457,4006,0,0
17,867,2385,455,4006,0,0
18,867,2387,453,4005,0,0
19,869,2383,458,4006,0,0
20,869,2385,459,4005,0,0
21,865,2379,456,4004,0,0
22,861,2381,453,4004,0,0
23,868,2384,455,4006,0,0
24,871,2386,454,4006,0,0
25,860,2386,459,4003,0,0
26,872,2387,454,4005,0,0
27,869,2385,459,4006,0,0
28,867,2383,454,4013,0,0
29,868,2390,459,4005,0,0
30,868,2383,453,4007,0,0
31,862,2391,455,4003,0,0
32,868,2382,456,4002,0,0
33,868,2385,457,4006,0,0
34,870,2380,456,4003,0,0
35,866,2383,455,4006,0,0
36,866,2388,454,4007,0,0
37,862,2384,455,4007,0,0
38,865,2386,456,4007,0,0
39,871,2386,453,4007,0,0
40,870,2387,458,4006,0,0
41,868,2379,458,4002,0,0
42,867,2385,457,4007,0,0
43,871,2386,457,4006,0,0
44,868,2388,456,4006,0,0
45,869,2384,455,4006,0,0
46,864,2384,457,4006,0,0
47,866,2387,456,4007,0,0
48,869,2384,453,4003,0,0
49,867,2377,463,4004,0,0
50,867,2390,455,4006,0,0
51,868,2383,458,4001,0,0
52,866,2384,458,4006,0,0
53,867,2382,455,4006,0,0
54,864,2388,455,4007,0,0
55,865,2384,458,4008,0,0
56,868,2382,458,4008,0,0
57,871,2388,456,4006,0,0
58,872,2389,457,4006,0,0
59,874,2384,460,4008,0,0
60,864,2383,457,4007,0,0
61,867,2380,457,4005,0,0
62,869,2384,456,4008,0,0
63,871,2385,458,4005,0,0
64,865,2384,458,4007,0,0
65,869,2379,458,4005,0,0
66,868,2383,454,4006,0,0
67,867,2384,456,4006,0,0
68,870,2383,458,4009,0,0
69,865,2388,459,4006,0,0
70,866,2386,455,4005,0,0
71,862,2385,459,4007,0,0
72,868,2385,454,4005,0,0
73,869,2384,457,4005,0,0
74,869,2388,456,4009,0,0
75,874,2389,455,4007,0,0
76,865,2388,458,4007,0,0
77,870,2391,462,4007,0,0
78,864,2382,453,4004,0,0
79,868,2385,457,4008,0,0
80,866,2380,456,4005,0,0
81,878,2382,455,4007,0,0
82,871,2384,454,4010,0,0
83,877,2387,456,4006,0,0
84,877,2381,455,4008,0,0
85,869,2382,458,4006,0,0
86,868,2398,454,4006,0,0
87,866,2381,456,4007,0,0
88,869,2381,459,4006,0,0
89,869,2382,459,4005,0,0
90,869,2384,457,4006,0,0
91,869,2386,455,4006,0,0
92,869,2383,455,4004,0,0
93,863,2384,456,4004,0,0
94,869,2380,455,4007,0,0
95,870,2383,454,4005,0,0
96,872,2384,456,4008,0,0
97,869,2381,457,4007,0,0
98,864,2387,454,4010,0,0
99,860,2384,457,4006,0,0
100,876,2389,457,4007,0,0
101,873,2381,460,4006,0,0
102,871,2381,457,4007,0,0
103,864,2392,455,4010,0,0
104,864,2383,459,4006,0,0
105,864,2381,458,4008,0,0
106,852,2383,456,4007,0,0
107,863,2384,456,4007,0,0
108,866,2385,457,4004,0,0
109,869,2381,452,4006,0,0
110,865,2386,453,4008,0,0
111,861,2389,458,4005,0,0
112,868,2385,454,4005,0,0
113,857,2388,456,4006,0,0
114,863,2387,458,4003,0,0
115,870,2381,455,4006,0,0
116,870,2382,457,4006,0,0
117,876,2384,457,4008,0,0
118,866,2384,455,4007,0,0
119,866,2384,450,4006,0,0
120,868,2383,455,4005,0,0
121,864,2383,456,4009,0,0
122,877,2383,456,4007,0,0
123,870,2391,457,4007,0,0
124,868,2384,457,4005,0,0
125,873,2386,457,4003,0,0
126,865,2383,460,4007,0,0
127,877,2378,459,4005,0,0
128,864,2383,457,4005,0,0
129,867,2381,457,4005,0,0
130,874,2385,457,4005,0,0
131,865,2381,457,4004,0,0
132,867,2391,452,4006,0,0
133,868,2386,452,4006,0,0
134,855,2387,456,4005,0,0
135,870,2384,466,4006,0,0
136,866,2383,458,4007,0,0
137,870,2386,456,4006,0,0
138,869,2383,455,4002,0,0
139,875,2386,455,4006,0,0
140,865,2384,456,4006,0,0
141,868,2383,459,4006,0,0
142,866,2385,457,4007,0,0
143,872,2382,459,4004,0,0
144,866,2387,460,4005,0,0
145,868,2385,458,4005,0,0
146,869,2383,457,4005,0,0
147,869,2377,457,4005,0,0
148,870,2386,457,4005,0,0
149,871,2381,458,4005,0,0
150,874,2373,455,4004,0,0
151,869,2382,454,4007,0,0
152,871,2380,456,4008,0,0
153,867,2388,457,4007,0,0
154,867,2382,458,4004,0,0
155,871,2381,451,4008,0,0
156,867,2379,458,4005,0,0
157,872,2385,457,4007,0,0
158,869,2393,457,4006,0,0
159,858,2385,456,4009,0,0
160,876,2381,458,4006,0,0
161,867,2390,456,4005,0,0
162,870,2383,459,4007,0,0
163,868,2385,457,4007,0,0
164,868,2393,459,4006,0,0
165,867,2387,457,4005,0,0
166,872,2381,455,4006,0,0
167,873,2380,457,4004,0,0
168,867,2384,456,4006,0,0
169,860,2381,455,4006,0,0
170,869,2382,457,4008,0,0
171,869,2391,456,4007,0,0
172,872,2387,456,4006,0,0
173,864,2383,464,4008,0,0
174,869,2384,456,4002,0,0
175,869,2383,455,4004,0,0
176,868,2383,459,4007,0,0
177,864,2383,456,4007,0,0
178,868,2383,458,4002,0,0
179,864,2382,455,4010,0,0
180,862,2383,454,4007,0,0
181,867,2383,456,4006,0,0
182,864,2386,458,4006,0,0
183,868,2381,455,4004,0,0
184,866,2379,456,4005,0,0
185,876,2380,455,4007,0,0
186,870,2386,457,4007,0,0
187,869,2384,454,4007,0,0
188,874,2380,458,4008,0,0
189,874,2381,455,4005,0,0
190,865,2386,460,4010,0,0
191,870,2383,449,4003,0,0
192,868,2382,457,4005,0,0
193,877,2382,457,4007,0,0
194,867,2381,460,4005,0,0
195,864,2389,458,4004,0,0
196,860,2377,456,4010,0,0
197,869,2387,458,4007,0,0
198,875,2388,456,4004,0,0
199,863,2387,456,4005,0,0
200,868,2390,459,4005,0,0
201,866,2383,458,4006,0,0
202,859,2383,456,4006,0,0
203,872,2388,451,4007,0,0
204,871,2390,454,4006,0,0
205,873,2387,457,4008,0,0
206,869,2386,450,4003,0,0
207,868,2382,455,4008,0,0
208,875,2385,457,4006,0,0
209,870,2385,457,4007,0,0
210,871,2384,461,4004,0,0
211,858,2383,457,4005,0,0
212,871,2387,457,4007,0,0
213,868,2383,456,4005,0,0
214,869,2384,456,4005,0,0
215,865,2386,459,4006,0,0
216,867,2382,455,4006,0,0
217,863,2382,457,4009,0,0
218,863,2376,455,4007,0,0
219,874,2387,455,4004,0,0
220,871,2381,451,4006,0,0
221,861,2379,454,4006,0,0
222,867,2383,457,4003,0,0
223,868,2385,458,4006,0,0
224,869,2385,457,4006,0,0
225,868,2379,456,4004,0,0
226,867,2387,458,4006,0,0
227,849,2383,457,4008,0,0
228,870,2389,457,4010,0,0
229,871,2383,456,4005,0,0
230,871,2382,456,4006,0,0
231,870,2382,457,4007,0,0
232,870,2386,463,4001,0,0
233,863,2384,455,4007,0,0
234,870,2383,455,4003,0,0
235,861,2381,457,4005,0,0
236,869,2381,455,4004,0,0
