time,cyln_pre,tank_pre,force,pos,val1,val2
0,616,4039,455,3956,0,0
1,615,4038,456,3955,0,0
2,613,4038,453,3954,0,0
3,612,4040,456,3954,0,0
4,618,4039,458,3953,0,0
5,622,4033,459,3953,0,0
6,617,4038,458,3953,0,0
7,633,4038,459,3956,0,0
8,618,4039,458,3956,0,0
9,615,4039,460,3954,0,0
10,616,4040,455,3956,0,0
11,616,4041,457,3954,0,0
12,615,4039,458,3953,0,0
13,617,4039,456,3956,0,0
14,622,4040,458,3954,0,0
15,622,4037,457,3956,0,0
16,618,4037,460,3954,0,0
17,612,4039,458,3954,0,0
18,619,4035,458,3955,0,0
19,620,4039,458,3953,0,0
20,617,4039,458,3955,0,0
21,612,4039,465,3956,0,0
22,618,4038,456,3952,0,0
23,617,4038,456,3959,0,0
24,618,4038,458,3955,0,0
25,620,4038,454,3957,0,0
26,618,4037,456,3957,0,0
27,615,4036,456,3956,0,0
28,616,4036,457,3952,0,0
29,619,4039,457,3952,0,0
30,622,4041,457,3955,0,0
31,623,4038,461,3956,0,0
32,616,4038,458,3954,0,0
33,615,4037,459,3952,0,0
34,614,4041,457,3951,0,0
35,616,4039,459,3956,0,0
36,614,4040,460,3957,0,0
37,613,4039,458,3955,0,0
38,616,4038,462,3955,0,0
39,617,4038,459,3954,0,0
40,618,4036,458,3954,0,0
41,613,4038,456,3956,0,0
42,622,4036,456,3956,0,0
43,618,4039,460,3956,0,0
44,613,4038,456,3955,0,0
45,615,4037,453,3957,0,0
46,617,4042,455,3953,0,0
47,616,4037,459,3958,0,0
48,617,4036,455,3955,0,0
49,613,4039,460,3954,0,0
50,612,4038,458,3953,0,0
51,615,4037,458,3956,0,0
52,622,4037,460,3953,0,0
53,614,4034,460,3954,0,0
54,616,4039,457,3953,0,0
55,616,4038,459,3956,0,0
56,613,4038,460,3949,0,0
57,612,4039,458,3953,0,0
58,603,4038,460,3954,0,0
59,616,4037,454,3954,0,0
60,615,4042,455,3957,0,0
61,611,4039,455,3961,0,0
62,622,4037,457,3954,0,0
63,609,4039,455,3955,0,0
64,605,4039,460,3956,0,0
65,618,4038,455,3955,0,0
66,613,4040,455,3954,0,0
67,618,4039,455,3956,0,0
68,614,4039,460,3955,0,0
69,617,4039,457,3956,0,0
70,615,4039,460,3957,0,0
71,616,4039,456,3958,0,0
72,618,4039,459,3957,0,0
73,616,4041,462,3957,0,0
74,617,4039,456,3951,0,0
75,614,4039,457,3956,0,0
76,617,4039,462,3956,0,0
77,613,4038,455,3957,0,0
78,613,4039,454,3953,0,0
79,619,4039,457,3956,0,0
80,616,4039,456,3952,0,0
81,617,4040,457,3953,0,0
82,623,4039,455,3956,0,0
83,616,4038,457,3954,0,0
84,616,4034,456,3952,0,0
85,615,4036,453,3956,0,0
86,614,4038,458,3954,0,0
87,615,4037,460,3955,0,0
88,617,4038,457,3957,0,0
89,617,4038,460,3954,0,0
90,624,4038,458,3959,0,0
91,614,4034,461,3954,0,0
92,614,4039,456,3954,0,0
93,613,4039,459,3955,0,0
94,617,4040,460,3955,0,0
95,612,4039,458,3953,0,0
96,624,4039,458,3957,0,0
97,615,4039,459,3953,0,0
98,616,4039,459,3953,0,0
99,616,4039,460,3954,0,0
100,617,4038,452,3957,0,0
101,622,4037,456,3956,0,0
102,615,4037,458,3954,0,0
103,615,4038,459,3955,0,0
104,611,4039,456,3955,0,0
105,627,4037,460,3957,0,0
106,616,4039,459,3956,0,0
107,620,4037,461,3951,0,0
108,616,4038,455,3954,0,0
109,617,4038,456,3955,0,0
110,615,4040,456,3953,0,0
111,617,4042,457,3955,0,0
112,616,4039,459,3958,0,0
113,628,4037,458,3955,0,0
114,616,4039,458,3954,0,0
115,618,4039,450,3956,0,0
116,615,4038,457,3958,0,0
117,625,4037,459,3954,0,0
118,615,4036,462,3956,0,0
119,617,4038,467,3955,0,0
120,620,4038,457,3954,0,0
121,619,4038,458,3954,0,0
122,619,4038,459,3954,0,0
123,622,4037,458,3955,0,0
124,612,4040,457,3956,0,0
125,616,4040,455,3952,0,0
126,615,4038,462,3956,0,0
127,613,4038,462,3956,0,0
128,615,4038,457,3955,0,0
129,618,4040,461,3954,0,0
130,618,4038,463,3955,0,0
131,619,4038,455,3958,0,0
132,612,4038,460,3955,0,0
133,620,4037,460,3954,0,0
134,609,4038,459,3955,0,0
135,615,4038,457,3956,0,0
136,613,4039,461,3954,0,0
137,623,4039,458,3952,0,0
138,618,4038,457,3956,0,0
139,619,4038,457,3955,0,0
140,614,4037,459,3955,0,0
141,614,4038,462,3956,0,0
142,619,4042,456,3953,0,0
143,624,4038,458,3956,0,0
144,616,4037,459,3954,0,0
145,622,4038,459,3957,0,0
146,620,4037,458,3958,0,0
147,613,4039,458,3956,0,0
148,618,4038,453,3955,0,0
149,625,4039,456,3956,0,0
150,616,4037,459,3956,0,0
151,617,4039,457,3956,0,0
152,615,4036,456,3953,0,0
153,613,4038,458,3955,0,0
154,620,4040,460,3954,0,0
155,622,4039,459,3951,0,0
156,619,4039,458,3950,0,0
157,617,4038,457,3953,0,0
158,617,4038,457,3955,0,0
159,618,4040,453,3950,0,0
160,603,4032,457,3955,0,0
161,607,4039,456,3957,0,0
162,617,4037,458,3955,0,0
163,618,4038,459,3955,0,0
164,616,4038,458,3956,0,0
165,614,4040,458,3956,0,0
166,613,4038,457,3957,0,0
167,624,4038,456,3957,0,0
168,614,4039,458,3955,0,0
169,617,4038,458,3954,0,0
170,617,4038,458,3955,0,0
171,613,4040,458,3955,0,0
172,615,4038,458,3954,0,0
173,615,4040,461,3951,0,0
174,612,4038,463,3958,0,0
