time,cyln_pre,tank_pre,force,pos,val1,val2,duty
0,613,607,540,3268,0,0,30
1,613,612,542,3272,0,0,30
2,615,609,538,3267,0,0,30
3,615,606,541,3274,0,0,30
4,615,608,539,3269,0,0,30
5,614,610,537,3268,0,0,30
6,620,610,537,3269,0,0,30
7,617,608,538,3269,0,0,30
8,612,610,539,3270,0,0,30
9,610,622,538,3271,0,0,30
10,618,608,539,3269,0,0,30
11,617,608,540,3268,0,0,30
12,614,611,539,3268,0,0,30
13,611,612,536,3267,0,0,30
14,615,607,546,3275,0,0,30
15,615,600,540,3268,0,0,30
16,615,612,538,3269,0,0,30
17,617,612,538,3275,0,0,30
18,618,610,539,3271,0,0,30
19,620,613,540,3267,0,0,30
20,613,610,539,3269,0,0,30
21,617,606,539,3268,0,0,30
22,616,599,542,3266,0,0,30
23,615,604,541,3266,0,0,30
24,611,614,536,3269,0,0,30
25,611,611,540,3265,0,0,30
26,619,613,542,3267,0,0,30
27,615,616,538,3267,0,0,30
28,616,608,540,3269,0,0,30
29,621,613,539,3274,0,0,30
30,614,612,539,3268,0,0,30
31,613,611,538,3266,0,0,30
32,621,610,541,3267,0,0,30
33,614,617,537,3266,0,0,30
34,620,619,539,3267,0,0,30
35,616,610,539,3266,0,0,30
36,614,618,540,3268,0,0,30
37,614,609,540,3266,0,0,30
38,619,602,537,3267,0,0,30
39,610,608,541,3268,0,0,30
40,616,610,538,3269,0,0,30
41,619,605,540,3269,0,0,30
42,616,608,538,3271,0,0,30
43,615,612,544,3267,0,0,30
44,610,607,538,3268,0,0,30
45,614,611,539,3266,0,0,30
46,616,606,541,3269,0,0,30
47,620,614,541,3267,0,0,30
48,615,597,533,3266,0,0,30
49,621,599,537,3267,0,0,30
50,611,612,540,3264,0,0,30
51,619,609,540,3267,0,0,30
52,617,602,541,3267,0,0,30
53,604,612,545,3268,0,0,30
54,611,613,531,3267,0,0,30
55,623,595,538,3273,0,0,30
56,615,608,538,3269,0,0,30
57,616,617,537,3268,0,0,30
58,614,613,538,3269,0,0,30
59,619,611,541,3265,0,0,30
60,616,613,538,3269,0,0,30
61,614,608,540,3269,0,0,30
62,616,610,539,3276,0,0,30
63,616,612,540,3273,0,0,30
64,612,610,540,3265,0,0,30
65,612,608,538,3267,0,0,30
66,608,620,540,3268,0,0,30
67,616,614,541,3267,0,0,30
68,619,610,544,3267,0,0,30
69,617,611,542,3268,0,0,30
70,606,615,537,3268,0,0,30
71,613,610,541,3268,0,0,30
72,617,607,541,3268,0,0,30
73,613,610,540,3268,0,0,30
74,614,608,531,3270,0,0,30
75,614,614,538,3268,0,0,30
76,612,605,539,3269,0,0,30
77,616,610,541,3269,0,0,30
78,621,608,539,3269,0,0,30
79,611,612,542,3270,0,0,30
80,613,612,537,3268,0,0,30
81,611,616,538,3268,0,0,30
82,613,606,538,3268,0,0,30
83,615,615,540,3269,0,0,30
84,615,614,540,3267,0,0,30
85,617,611,541,3260,0,0,30
86,616,611,540,3266,0,0,30
87,611,609,541,3268,0,0,30
88,615,608,543,3269,0,0,30
89,612,608,544,3269,0,0,30
90,610,611,541,3270,0,0,30
91,616,613,542,3268,0,0,30
92,615,610,539,3267,0,0,30
93,613,610,545,3266,0,0,30
94,622,608,538,3269,0,0,30
95,618,612,536,3268,0,0,30
96,614,605,542,3267,0,0,30
97,615,611,539,3270,0,0,30
98,615,613,540,3266,0,0,30
99,609,617,543,3264,0,0,30
100,612,611,544,3268,0,0,30
101,616,604,538,3268,0,0,30
102,620,611,543,3267,0,0,30
103,614,613,540,3266,0,0,30
104,616,614,539,3269,0,0,30
105,617,614,540,3269,0,0,30
106,617,599,538,3270,0,0,30
107,615,609,540,3268,0,0,30
108,610,610,538,3270,0,0,30
109,611,614,544,3264,0,0,30
110,628,611,537,3268,0,0,30
111,613,617,538,3267,0,0,30
112,613,610,542,3268,0,0,30
113,614,614,537,3269,0,0,30
114,598,611,537,3267,0,0,30
115,616,613,540,3270,0,0,30
116,615,618,540,3267,0,0,30
117,616,605,538,3271,0,0,30
118,613,612,539,3270,0,0,30
119,617,607,540,3268,0,0,30
120,610,625,536,3268,0,0,30
121,613,614,540,3268,0,0,30
122,615,612,542,3268,0,0,30
123,615,615,539,3267,0,0,30
124,612,615,536,3268,0,0,30
125,616,615,540,3266,0,0,30
126,616,613,540,3267,0,0,30
127,618,606,539,3269,0,0,30
128,609,611,539,3271,0,0,30
129,618,615,539,3268,0,0,30
130,617,611,538,3268,0,0,30
131,617,610,539,3267,0,0,30
132,620,608,539,3267,0,0,30
133,614,610,545,3268,0,0,30
134,621,606,541,3267,0,0,30
135,617,612,540,3267,0,0,30
136,613,608,540,3262,0,0,30
137,616,609,533,3269,0,0,30
138,613,610,541,3272,0,0,30
139,615,611,539,3267,0,0,30
140,617,611,541,3269,0,0,30
141,615,610,541,3268,0,0,30
142,621,615,541,3272,0,0,30
143,616,597,533,3268,0,0,30
144,614,619,539,3268,0,0,30
145,614,612,542,3271,0,0,30
146,615,614,539,3263,0,0,30
147,609,610,542,3268,0,0,30
148,615,613,540,3267,0,0,30
149,617,610,542,3269,0,0,30
150,622,611,540,3267,0,0,30
151,619,612,541,3269,0,0,30
152,616,612,540,3265,0,0,30
153,614,605,540,3274,0,0,30
154,611,616,540,3269,0,0,30
155,612,610,535,3270,0,0,30
156,617,617,539,3268,0,0,30
157,616,612,535,3269,0,0,30
158,614,607,538,3269,0,0,30
159,623,611,540,3268,0,0,30
160,624,608,540,3267,0,0,30
161,613,612,534,3268,0,0,30
162,616,612,544,3269,0,0,30
163,621,613,541,3268,0,0,30
164,611,617,540,3266,0,0,30
165,618,608,540,3268,0,0,30
166,613,610,540,3267,0,0,30
167,613,629,541,3267,0,0,30
168,608,607,539,3267,0,0,30
169,614,611,536,3266,0,0,30
170,609,600,539,3267,0,0,30
171,615,614,538,3270,0,0,30
172,615,615,541,3267,0,0,30
173,615,610,539,3266,0,0,30
174,614,605,537,3266,0,0,30
175,617,612,540,3270,0,0,30
176,613,612,547,3269,0,0,30
177,619,610,545,3267,0,0,30
178,613,610,537,3268,0,0,30
179,621,605,540,3267,0,0,30
180,619,605,542,3269,0,0,30
181,610,616,538,3268,0,0,30
182,615,615,539,3268,0,0,30
183,615,610,536,3269,0,0,30
184,613,610,538,3268,0,0,30
185,624,604,539,3277,0,0,30
186,613,607,541,3270,0,0,30
187,614,601,538,3269,0,0,30
188,617,608,541,3269,0,0,30
189,617,611,540,3268,0,0,30
190,613,612,539,3270,0,0,30
191,617,612,538,3270,0,0,30
192,620,628,541,3268,0,0,30
193,615,606,539,3268,0,0,30
194,618,613,541,3268,0,0,30
195,612,612,540,3268,0,0,30
196,615,607,540,3269,0,0,30
197,612,607,540,3268,0,0,30
198,610,607,545,3269,0,0,30
199,619,611,540,3269,0,0,30
200,614,612,547,3268,0,0,30
201,617,609,539,3270,0,0,30
202,613,611,541,3271,0,0,30
203,612,610,539,3268,0,0,30
204,614,610,539,3270,0,0,30
205,614,613,537,3272,0,0,30
206,615,607,540,3269,0,0,30
207,626,605,541,3270,0,0,30
208,626,611,540,3268,0,0,30
209,616,613,539,3268,0,0,30
210,617,616,538,3271,0,0,30
211,623,613,538,3271,0,0,30
212,615,612,540,3269,0,0,30
213,617,613,533,3270,0,0,30
214,608,613,537,3262,0,0,30
215,613,609,538,3269,0,0,30
216,618,599,541,3269,0,0,30
217,619,610,540,3268,0,0,30
218,610,610,541,3268,0,0,30
219,615,617,539,3269,0,0,30
220,613,609,537,3265,0,0,30
221,612,610,542,3269,0,0,30
222,616,611,539,3269,0,0,30
223,616,612,541,3267,0,0,30
224,615,611,540,3262,0,0,30
225,615,611,544,3271,0,0,30
226,613,611,536,3265,0,0,30
227,618,613,541,3270,0,0,30
228,613,608,541,3268,0,0,30
229,620,616,534,3262,0,0,30
230,617,609,542,3268,0,0,30
231,617,613,535,3267,0,0,30
232,618,624,544,3268,0,0,30
233,610,605,539,3268,0,0,30
234,614,607,538,3267,0,0,30
235,624,608,540,3266,0,0,30
236,616,611,540,3268,0,0,30
237,618,610,540,3268,0,0,30
238,617,610,542,3270,0,0,30
239,611,609,544,3268,0,0,30
240,615,613,540,3271,0,0,30
241,613,609,538,3268,0,0,30
242,623,614,541,3266,0,0,30
243,615,623,540,3267,0,0,30
244,616,610,540,3268,0,0,30
245,615,609,544,3265,0,0,30
