time,cyln_pre,tank_pre,force,pos,val1,val2,duty
0,618,621,538,3269,0,0,30
1,617,616,539,3269,0,0,30
2,615,612,538,3271,0,0,30
3,614,614,538,3271,0,0,30
4,614,612,537,3269,0,0,30
5,618,607,536,3270,0,0,30
6,614,611,540,3270,0,0,30
7,625,608,542,3268,0,0,30
8,616,610,544,3274,0,0,30
9,619,612,537,3269,0,0,30
10,616,612,541,3270,0,0,30
11,614,606,539,3269,0,0,30
12,613,609,539,3270,0,0,30
13,615,609,539,3272,0,0,30
14,616,614,534,3270,0,0,30
15,614,616,547,3270,0,0,30
16,617,611,541,3269,0,0,30
17,616,614,540,3277,0,0,30
18,625,612,538,3269,0,0,30
19,618,610,543,3272,0,0,30
20,618,610,541,3270,0,0,30
21,616,608,537,3270,0,0,30
22,617,607,538,3266,0,0,30
23,611,615,539,3270,0,0,30
24,615,615,538,3273,0,0,30
25,618,613,542,3268,0,0,30
26,620,612,538,3269,0,0,30
27,608,610,540,3269,0,0,30
28,613,608,538,3270,0,0,30
29,615,612,541,3271,0,0,30
30,615,611,540,3270,0,0,30
31,614,614,541,3271,0,0,30
32,616,617,543,3269,0,0,30
33,620,611,542,3272,0,0,30
34,616,611,540,3273,0,0,30
35,614,603,544,3270,0,0,30
36,616,610,539,3270,0,0,30
37,619,609,541,3269,0,0,30
38,610,613,539,3270,0,0,30
39,619,613,544,3267,0,0,30
40,618,613,540,3274,0,0,30
41,616,618,541,3270,0,0,30
42,623,611,541,3269,0,0,30
43,612,615,545,3269,0,0,30
44,615,617,536,3269,0,0,30
45,623,613,534,3269,0,0,30
46,608,613,544,3272,0,0,30
47,621,616,545,3269,0,0,30
48,616,614,540,3269,0,0,30
49,612,604,541,3271,0,0,30
50,616,615,539,3272,0,0,30
51,626,611,539,3267,0,0,30
52,612,613,539,3270,0,0,30
53,616,607,540,3268,0,0,30
54,612,608,539,3269,0,0,30
55,611,609,540,3271,0,0,30
56,615,607,539,3272,0,0,30
57,614,610,538,3270,0,0,30
58,617,612,538,3268,0,0,30
59,616,600,540,3269,0,0,30
60,615,608,541,3267,0,0,30
61,614,617,537,3269,0,0,30
62,620,615,539,3269,0,0,30
63,613,623,542,3270,0,0,30
64,619,614,539,3268,0,0,30
65,617,613,540,3271,0,0,30
66,621,610,540,3269,0,0,30
67,618,615,538,3269,0,0,30
68,616,615,542,3269,0,0,30
69,618,611,539,3268,0,0,30
70,615,609,539,3265,0,0,30
71,615,613,539,3272,0,0,30
72,616,607,539,3272,0,0,30
73,613,611,537,3270,0,0,30
74,618,608,540,3270,0,0,30
75,615,608,539,3269,0,0,30
76,616,615,540,3268,0,0,30
77,620,615,540,3271,0,0,30
78,614,618,541,3270,0,0,30
79,618,611,536,3269,0,0,30
80,618,611,539,3272,0,0,30
81,614,609,542,3269,0,0,30
82,619,608,540,3272,0,0,30
83,610,611,539,3270,0,0,30
84,615,611,542,3271,0,0,30
85,615,614,533,3271,0,0,30
86,621,612,541,3270,0,0,30
87,614,612,542,3268,0,0,30
88,617,607,535,3272,0,0,30
89,618,611,542,3266,0,0,30
90,615,616,540,3274,0,0,30
91,616,609,537,3267,0,0,30
92,616,606,539,3270,0,0,30
93,614,611,540,3268,0,0,30
94,618,610,546,3269,0,0,30
95,616,610,539,3269,0,0,30
96,616,617,539,3268,0,0,30
97,614,613,538,3269,0,0,30
98,614,616,542,3271,0,0,30
99,619,611,539,3274,0,0,30
100,615,603,540,3270,0,0,30
101,618,610,540,3270,0,0,30
102,613,609,543,3270,0,0,30
103,614,608,542,3268,0,0,30
104,616,610,541,3259,0,0,30
105,614,610,543,3265,0,0,30
106,615,615,539,3268,0,0,30
107,619,609,534,3271,0,0,30
108,619,602,540,3271,0,0,30
109,613,611,538,3270,0,0,30
110,613,609,538,3271,0,0,30
111,614,615,540,3270,0,0,30
112,616,610,537,3273,0,0,30
113,614,629,539,3267,0,0,30
114,611,614,540,3268,0,0,30
115,615,608,538,3272,0,0,30
116,616,613,542,3273,0,0,30
117,616,616,541,3269,0,0,30
118,618,611,542,3273,0,0,30
119,616,612,540,3272,0,0,30
120,610,608,543,3270,0,0,30
121,614,605,538,3270,0,0,30
122,613,614,542,3270,0,0,30
123,617,613,546,3268,0,0,30
124,620,616,534,3271,0,0,30
125,615,611,538,3269,0,0,30
126,617,609,541,3273,0,0,30
127,617,614,538,3269,0,0,30
128,621,621,539,3272,0,0,30
129,616,608,541,3270,0,0,30
130,613,614,540,3270,0,0,30
131,616,620,531,3271,0,0,30
132,617,612,540,3268,0,0,30
133,617,611,541,3271,0,0,30
134,616,612,542,3271,0,0,30
135,614,611,541,3270,0,0,30
136,613,614,540,3269,0,0,30
137,616,599,540,3273,0,0,30
138,617,612,542,3270,0,0,30
139,614,605,541,3268,0,0,30
140,616,607,544,3274,0,0,30
141,615,611,539,3273,0,0,30
142,617,612,540,3269,0,0,30
143,616,613,538,3269,0,0,30
144,615,613,541,3271,0,0,30
145,613,614,542,3273,0,0,30
146,611,609,542,3271,0,0,30
147,616,613,544,3271,0,0,30
148,618,613,540,3263,0,0,30
149,616,616,542,3271,0,0,30
150,617,616,537,3269,0,0,30
151,614,608,539,3263,0,0,30
152,612,609,538,3271,0,0,30
153,617,611,539,3268,0,0,30
154,613,614,536,3274,0,0,30
155,617,610,538,3276,0,0,30
156,619,611,540,3269,0,0,30
157,620,607,540,3269,0,0,30
158,619,610,541,3271,0,0,30
159,616,617,544,3273,0,0,30
160,614,608,537,3269,0,0,30
161,613,603,541,3270,0,0,30
162,614,609,540,3271,0,0,30
163,614,617,532,3269,0,0,30
164,612,608,539,3265,0,0,30
165,614,610,540,3270,0,0,30
166,623,612,542,3270,0,0,30
167,616,610,542,3271,0,0,30
168,616,611,540,3270,0,0,30
169,606,609,538,3269,0,0,30
170,615,611,537,3269,0,0,30
171,619,610,542,3261,0,0,30
172,611,612,537,3268,0,0,30
173,613,614,537,3270,0,0,30
174,618,610,540,3270,0,0,30
175,621,615,541,3273,0,0,30
176,612,612,540,3272,0,0,30
177,615,611,540,3269,0,0,30
178,614,601,541,3268,0,0,30
179,615,611,541,3269,0,0,30
180,620,613,542,3269,0,0,30
181,611,602,541,3270,0,0,30
182,620,610,538,3266,0,0,30
183,616,610,537,3269,0,0,30
184,614,609,536,3271,0,0,30
185,616,611,541,3273,0,0,30
186,619,606,544,3273,0,0,30
187,616,612,541,3270,0,0,30
188,615,611,542,3270,0,0,30
189,615,613,540,3271,0,0,30
190,618,601,532,3270,0,0,30
191,616,610,540,3270,0,0,30
192,616,610,544,3270,0,0,30
193,616,611,542,3266,0,0,30
194,606,624,540,3270,0,0,30
195,616,628,536,3269,0,0,30
196,608,609,542,3268,0,0,30
197,612,615,542,3267,0,0,30
198,618,616,538,3269,0,0,30
199,621,608,535,3269,0,0,30
200,614,612,538,3270,0,0,30
201,618,616,538,3272,0,0,30
202,615,600,541,3271,0,0,30
203,613,609,542,3269,0,0,30
204,617,619,542,3269,0,0,30
205,614,610,541,3274,0,0,30
206,618,610,538,3272,0,0,30
207,611,611,541,3267,0,0,30
208,617,606,537,3269,0,0,30
209,616,609,540,3269,0,0,30
210,615,611,545,3271,0,0,30
211,614,621,544,3267,0,0,30
212,612,618,538,3270,0,0,30
213,613,611,541,3273,0,0,30
214,616,609,539,3271,0,0,30
215,618,610,537,3268,0,0,30
216,624,617,539,3272,0,0,30
217,619,610,537,3270,0,0,30
218,615,609,538,3269,0,0,30
219,613,610,540,3269,0,0,30
220,610,614,539,3270,0,0,30
221,615,608,543,3269,0,0,30
222,618,606,540,3270,0,0,30
223,619,612,541,3270,0,0,30
224,618,609,539,3267,0,0,30
225,613,617,539,3269,0,0,30
226,617,613,542,3271,0,0,30
227,614,610,540,3276,0,0,30
228,616,605,542,3270,0,0,30
229,616,610,541,3270,0,0,30
230,618,613,540,3270,0,0,30
231,616,612,541,3269,0,0,30
232,620,604,540,3274,0,0,30
233,616,612,541,3271,0,0,30
234,616,617,536,3269,0,0,30
235,613,608,538,3271,0,0,30
236,615,612,543,3270,0,0,30
237,615,614,536,3267,0,0,30
238,613,605,540,3271,0,0,30
239,616,610,539,3274,0,0,30
240,616,613,539,3270,0,0,30
241,620,614,541,3268,0,0,30
242,614,612,544,3269,0,0,30
243,617,610,539,3269,0,0,30
244,615,606,543,3269,0,0,30
245,617,608,540,3269,0,0,30
246,617,615,542,3268,0,0,30
247,613,610,537,3265,0,0,30
248,614,608,538,3269,0,0,30
249,619,609,541,3270,0,0,30
250,616,615,541,3266,0,0,30
251,613,614,540,3270,0,0,30
252,616,614,538,3269,0,0,30
253,611,611,536,3267,0,0,30
254,609,608,537,3271,0,0,30
255,603,608,537,3269,0,0,30
256,615,614,540,3269,0,0,30
257,607,609,541,3270,0,0,30
258,611,613,538,3273,0,0,30
259,614,598,535,3269,0,0,30
260,615,613,541,3270,0,0,30
261,612,616,539,3269,0,0,30
262,616,609,538,3269,0,0,30
263,614,611,540,3269,0,0,30
264,613,613,536,3269,0,0,30
265,612,620,539,3268,0,0,30
266,619,619,537,3271,0,0,30
267,618,613,539,3271,0,0,30
268,603,611,541,3270,0,0,30
269,618,608,539,3269,0,0,30
270,612,609,540,3268,0,0,30
271,615,612,537,3271,0,0,30
272,612,614,538,3267,0,0,30
273,614,608,539,3274,0,0,30
274,618,611,538,3271,0,0,30
275,613,612,538,3269,0,0,30
276,615,615,543,3270,0,0,30
277,619,614,541,3266,0,0,30
278,612,612,539,3269,0,0,30
279,622,611,538,3271,0,0,30
280,628,610,537,3270,0,0,30
281,621,611,539,3271,0,0,30
282,616,612,541,3272,0,0,30
283,616,612,541,3273,0,0,30
284,609,614,536,3270,0,0,30
285,614,611,536,3271,0,0,30
286,614,614,536,3269,0,0,30
287,613,612,540,3276,0,0,30
288,623,611,540,3270,0,0,30
289,615,612,540,3265,0,0,30
290,616,611,542,3276,0,0,30
291,616,612,541,3268,0,0,30
292,619,603,540,3271,0,0,30
293,618,617,536,3271,0,0,30
294,615,611,540,3269,0,0,30
295,615,610,538,3271,0,0,30
296,616,608,540,3269,0,0,30
297,598,614,539,3271,0,0,30
298,617,601,539,3263,0,0,30
299,616,611,541,3272,0,0,30
300,616,618,538,3269,0,0,30
301,610,614,538,3270,0,0,30
302,616,609,539,3270,0,0,30
303,615,610,539,3274,0,0,30
304,617,604,539,3273,0,0,30
305,624,613,539,3268,0,0,30
306,619,613,541,3270,0,0,30
307,615,611,539,3270,0,0,30
308,614,598,541,3277,0,0,30
309,609,605,534,3269,0,0,30
310,612,616,536,3270,0,0,30
311,614,617,540,3269,0,0,30
312,613,610,541,3272,0,0,30
313,613,604,539,3270,0,0,30
314,618,620,542,3271,0,0,30
315,614,618,541,3271,0,0,30
316,609,609,539,3270,0,0,30
317,617,610,539,3270,0,0,30
318,612,609,540,3271,0,0,30
319,611,608,541,3270,0,0,30
320,615,613,540,3270,0,0,30
321,610,610,540,3270,0,0,30
