time,cyln_pre,tank_pre,force,pos,val1,val2
0,354,345,97,737,0,0
1,354,342,97,737,0,0
2,356,344,96,738,0,0
3,354,342,97,739,0,0
4,353,341,96,739,0,0
5,353,342,96,738,0,0
6,354,342,97,738,0,0
7,355,342,96,737,0,0
8,354,343,96,738,0,0
9,352,342,97,738,0,0
10,353,342,97,738,0,0
11,354,343,96,737,0,0
12,354,342,97,738,0,0
13,353,343,96,738,0,0
14,352,341,96,738,0,0
15,348,343,95,739,0,0
16,356,342,97,738,0,0
17,355,341,96,738,0,0
18,354,341,96,737,0,0
19,357,337,96,739,0,0
20,354,342,96,738,0,0
21,353,344,97,737,0,0
22,354,342,95,737,0,0
23,355,342,98,738,0,0
24,355,339,97,738,0,0
25,353,342,97,738,0,0
26,355,342,96,738,0,0
27,354,341,96,738,0,0
28,354,344,96,739,0,0
29,355,342,96,737,0,0
30,355,343,97,737,0,0
31,353,342,97,738,0,0
32,355,343,97,738,0,0
33,355,341,97,737,0,0
34,353,342,97,738,0,0
35,354,342,97,737,0,0
36,354,342,97,738,0,0
37,354,343,96,738,0,0
38,354,339,97,739,0,0
39,354,341,96,737,0,0
40,355,342,96,738,0,0
41,354,342,97,738,0,0
42,353,342,97,738,0,0
43,354,341,97,737,0,0
44,355,342,97,738,0,0
45,353,343,96,738,0,0
46,356,343,96,735,0,0
47,357,342,97,738,0,0
48,353,341,97,739,0,0
49,354,340,96,738,0,0
50,354,343,98,738,0,0
51,354,342,97,737,0,0
52,357,341,96,738,0,0
53,354,342,97,738,0,0
54,355,342,96,738,0,0
55,353,339,96,738,0,0
56,354,343,96,737,0,0
57,353,343,96,738,0,0
58,353,342,96,737,0,0
59,354,341,96,738,0,0
60,356,339,97,738,0,0
61,354,343,96,737,0,0
62,355,342,96,738,0,0
63,356,341,96,738,0,0
64,353,342,96,738,0,0
65,354,343,96,738,0,0
66,355,343,96,737,0,0
67,354,343,96,739,0,0
68,354,342,97,738,0,0
69,354,343,97,738,0,0
70,353,343,97,738,0,0
71,354,344,96,739,0,0
72,354,342,95,738,0,0
73,353,341,97,738,0,0
74,354,342,96,738,0,0
75,354,343,97,738,0,0
76,354,342,96,738,0,0
77,355,341,97,738,0,0
78,353,341,96,738,0,0
79,353,342,97,738,0,0
80,351,342,96,738,0,0
81,354,341,96,736,0,0
82,355,341,97,737,0,0
83,354,343,97,738,0,0
84,353,341,97,738,0,0
85,355,341,97,738,0,0
86,354,343,97,738,0,0
87,353,342,98,738,0,0
88,357,342,97,738,0,0
89,354,342,97,738,0,0
90,355,342,96,738,0,0
91,354,343,97,738,0,0
92,353,343,96,738,0,0
93,350,342,97,738,0,0
94,353,342,96,739,0,0
95,354,342,96,736,0,0
96,352,342,97,738,0,0
97,353,341,96,739,0,0
98,355,341,96,738,0,0
99,354,343,97,738,0,0
100,353,341,97,738,0,0
101,355,343,96,738,0,0
102,354,343,98,737,0,0
103,354,341,96,738,0,0
104,352,342,97,738,0,0
105,354,345,97,735,0,0
106,353,342,97,737,0,0
107,355,341,97,738,0,0
108,356,341,97,738,0,0
109,354,343,97,738,0,0
110,354,342,97,737,0,0
111,354,342,96,736,0,0
112,355,342,98,737,0,0
113,354,345,97,738,0,0
114,353,343,97,737,0,0
115,356,342,96,737,0,0
116,356,342,96,738,0,0
117,355,342,96,737,0,0
118,355,341,96,738,0,0
119,354,342,97,738,0,0
120,354,343,97,738,0,0
121,354,342,96,738,0,0
122,355,341,96,738,0,0
123,354,341,96,739,0,0
124,352,342,98,738,0,0
125,353,342,96,738,0,0
126,353,340,98,737,0,0
127,353,342,96,737,0,0
128,355,343,97,738,0,0
129,354,342,97,739,0,0
130,354,341,96,738,0,0
131,354,342,96,739,0,0
132,355,341,96,738,0,0
133,353,344,97,738,0,0
134,354,342,97,737,0,0
135,355,341,97,738,0,0
136,354,343,96,740,0,0
137,353,341,97,738,0,0
138,357,343,97,738,0,0
139,356,342,97,738,0,0
140,355,342,96,737,0,0
141,355,342,97,738,0,0
142,354,341,96,738,0,0
143,355,342,96,737,0,0
144,353,343,96,738,0,0
145,353,342,97,739,0,0
146,354,341,97,738,0,0
147,354,341,97,739,0,0
148,356,342,97,738,0,0
149,353,341,96,737,0,0
150,348,342,97,738,0,0
151,354,342,97,738,0,0
152,354,341,98,739,0,0
153,352,343,96,738,0,0
154,354,342,96,737,0,0
155,355,344,97,737,0,0
156,354,342,96,738,0,0
157,354,341,97,737,0,0
158,352,341,94,737,0,0
159,357,342,97,738,0,0
160,355,341,97,738,0,0
161,353,342,96,738,0,0
162,355,342,98,738,0,0
163,355,343,97,738,0,0
164,354,342,96,738,0,0
165,354,343,96,738,0,0
166,354,343,96,738,0,0
167,354,341,97,739,0,0
168,355,344,98,738,0,0
169,353,342,97,737,0,0
170,354,343,96,738,0,0
171,355,342,97,738,0,0
172,354,341,95,738,0,0
173,355,341,96,738,0,0
174,355,343,96,737,0,0
175,354,340,96,739,0,0
176,352,341,96,738,0,0
177,355,341,96,738,0,0
178,354,341,96,738,0,0
179,353,342,97,738,0,0
180,354,342,97,738,0,0
181,354,341,97,738,0,0
182,355,341,95,738,0,0
183,358,341,99,736,0,0
